date,price,open,high,low,vol.,change %,RSI_14,StochRSI,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR_14,DI_Plus,DI_Minus,ADX_14,CCI_20,Williams_%R,OBV,RSI_Oversold,RSI_Overbought,MACD_Bullish,Above_SMA200,Trend_Bullish,Market_Regime,Return_5D
2020-03-10,1.01063,"1,060.21",1.06857,1.01022,1820000000.0,-2.38%,23.80002889755812,0.11018862664940274,1.134408,,,1.1182348811318963,1.151483556098927,-0.036511297514830066,-0.02539002257497455,-0.011121274939855517,1.253088397281722,1.134408,1.0157276027182782,7095.098787142858,6.671607500587911e-05,199.99930373465165,84.0103385058641,-14.908123406952848,-99.77629855958095,-1460000000.0,True,False,False,False,False,Bear,85864.25236733524
2020-03-11,1.00966,"1,004.16",1.02839,98806.0,1860000000.0,-0.10%,26.441505072556794,0.2342906324493636,1.1248665,1.1670806,,1.107894416262192,1.145921848016616,-0.040503399204947055,-0.02841269790096905,-0.012090701303978005,1.251589033745768,1.1248665,0.998143966254232,14152.594864285713,3.3446668077220855e-05,150.13250248579735,87.56770486417214,194.36000993398494,-100.34160922344897,-3320000000.0,True,False,False,False,False,Bear,84757.23544559555
2020-03-12,93639.0,984.48,99027.0,92854.0,1740000000.0,-7.26%,99.99975531377162,1.0,4683.014596,1873.9238942,,8919.002380662332,3673.2186307951533,7469.6540655627105,1493.9080829542213,5975.745982608489,46559.14730540049,4683.014596,-37193.11811340049,21225.877772857144,33.32389122227517,102.10549401636555,87.59697130173389,253.91285418691618,-5.440995855704337,-1580000000.0,False,True,True,False,False,Bear,-0.09017610183790947
2020-03-13,95605.0,936.58,98856.0,91644.0,2260000000.0,2.10%,99.99978168339031,1.0,9463.2045205,3786.0011574,,17174.81167774211,7278.386527626716,13393.686516281445,3873.863769619666,9519.82274666178,67714.0840215177,9463.2045205,-48787.674980517695,21741.018225714284,32.53430150586984,100.08369892186383,86.50724240176187,183.73030255457834,-3.4556584666333037,680000000.0,False,True,False,False,False,Bear,-0.10259923644160873
2020-03-16,87888.0,922.64,92264.0,86853.0,1390000000.0,-8.07%,92.53086529975636,0.9049091839370458,13857.5441245,5543.7388748,,23909.40104176667,10439.547840268806,17266.786738168983,6552.44836332953,10714.338374839452,81591.15286651501,13857.5441245,-53876.06461751502,22366.15955285714,31.624954133426225,98.81638007913529,85.38529058518307,139.61880932537048,-11.24856214489432,-710000000.0,False,True,False,False,False,Bear,-0.0414391043145822
2020-03-17,86778.0,889.23,88949.0,81936.0,2069999999.9999998,-1.26%,91.54735400832303,0.8923875694877992,18196.3843375,7279.276354799999,,29896.88665683651,13433.2126308465,20015.94746200487,9245.148183064599,10770.799278940272,92946.6804248375,18196.3843375,-56553.9117498375,22867.086548571428,30.932177061453803,98.18759800789422,84.10847951756138,115.19073244762609,-12.369479999354569,-2780000000.0,False,True,False,False,False,Bear,0.02890133443960452
2020-03-18,85577.0,847.77,87825.0,84303.0,1670000000.0,-1.38%,90.50653491337377,0.8791363383815706,22475.174739500002,8990.793779599999,,35199.754594280654,16262.380762970166,21845.94008082781,11765.306562617243,10080.633518210569,102454.18978950885,22475.174739500002,-57503.84031050885,23118.65458214286,30.595585374001377,97.85047142487082,82.69153236099682,101.3510071950963,-13.582292921162459,-4450000000.0,False,True,False,False,False,Bear,0.04073524428292652
2020-03-19,85195.0,849.40,86879.0,84072.0,1770000000.0,-0.45%,90.18045120398187,0.87498479022676,26734.8669185,10694.6701816,,39961.2065376825,18965.620733049767,23000.26546502438,14012.298343098671,8987.967121925707,110651.92993699913,26734.8669185,-57182.19609999913,16224.090595,43.597437148063456,95.80289519192881,78.2236813728506,89.55274716336525,-13.96805023684157,-6220000000.0,False,True,False,False,False,Bear,0.07433534831856337
2020-03-20,85796.0,872.17,88093.0,85005.0,1610000000.0,0.71%,90.23580374508629,0.8718633908728449,31024.608503999996,12410.5664488,,44326.424962665114,21586.41991998899,23690.48318238608,15947.935310956154,7742.547871429926,117906.66782696338,31024.608503999996,-55857.450818963385,16444.659587142858,43.539975836971905,51.77805281591691,71.69816527129164,81.69558215737001,-13.361138857985166,-4610000000.0,False,True,False,False,False,Bear,0.027145787682409495
2020-03-23,84246.0,830.44,86587.0,82528.0,1790000000.0,-1.81%,88.94272622698638,0.854893814583874,35236.8511095,14095.462399,,48128.2892519351,24043.658354499228,23837.628309294698,17525.873910623865,6311.754398670833,123935.67890914215,35236.8511095,-53461.97669014215,16734.585375000002,42.78564041549447,51.93825331672687,65.24548418276497,71.14191250869364,-14.926384510609836,-6400000000.0,False,True,False,False,False,Bear,0.04526030909479384
